question,answer
"Qu'est-ce que FlowlyRent ?","FlowlyRent est une plateforme SaaS de gestion de location saisonnière. Elle vous permet de centraliser vos propriétés et réservations, gérer vos équipes de ménage, envoyer des messages à vos voyageurs et proposer un site de réservation directe personnalisé."
"À qui s'adresse FlowlyRent ?","FlowlyRent s'adresse aux propriétaires et gestionnaires de locations saisonnières qui souhaitent centraliser leur activité : hôtes indépendants, petites agences, ou gestionnaires multi-logements."
"FlowlyRent est-il gratuit ?","FlowlyRent propose un plan gratuit (FREE) qui permet de gérer 1 logement avec une commission de 2% sur les réservations directes. Des plans payants (STARTER à 9€/mois, PRO à 19€/mois, AGENCE à 49€/mois) offrent plus de logements et de fonctionnalités."
"Quels sont les différents plans tarifaires ?","FREE : 0€/mois, 1 logement, 2% de commission sur réservations directes. STARTER : 9€/mois, jusqu'à 3 logements. PRO : 19€/mois, logements illimités. AGENCE : 49€/mois, logements illimités et gestion multi-utilisateurs."
"Comment créer un compte propriétaire ?","Cliquez sur ""S'inscrire gratuitement"" depuis la page d'accueil. Renseignez votre prénom, votre email et un mot de passe d'au moins 8 caractères. Vous serez redirigé vers les paramètres pour connecter votre compte Beds24."
"Comment réinitialiser mon mot de passe ?","Sur la page de connexion, cliquez sur ""Mot de passe oublié"" et suivez les instructions reçues par email."
"Mon mot de passe doit respecter quelles règles ?","Votre mot de passe doit contenir au minimum 8 caractères."
"Comment modifier mes informations personnelles ?","Rendez-vous dans Paramètres > Profil pour mettre à jour votre prénom, nom, numéro de téléphone et autres informations."
"Qu'est-ce que Beds24 ?","Beds24 est un channel manager qui centralise vos calendriers de disponibilité depuis Airbnb, Booking.com, Vrbo et d'autres plateformes. FlowlyRent se connecte à Beds24 pour accéder à vos propriétés et réservations en temps réel."
"Comment connecter mon compte Beds24 ?","Dans Paramètres > Beds24, collez votre token API Beds24 (disponible dans votre espace Beds24 sous Settings > Account > Developer). Cliquez sur Connecter. La synchronisation démarre automatiquement."
"Où trouver mon token API Beds24 ?","Connectez-vous à votre compte Beds24, allez dans Settings > Account > API Keys, puis copiez votre token d'accès personnel."
"Est-il obligatoire d'avoir un compte Beds24 ?","Oui, FlowlyRent se connecte à Beds24 pour récupérer vos propriétés et réservations. Sans compte Beds24 connecté, les fonctionnalités de calendrier et de réservation ne sont pas disponibles."
"Mes données Beds24 sont-elles synchronisées en temps réel ?","Les réservations et disponibilités sont récupérées depuis Beds24 à chaque consultation. Le calendrier reflète toujours l'état actuel de votre compte Beds24."
"Quelles données sont importées depuis Beds24 ?","FlowlyRent importe vos logements (nom, identifiant), vos réservations (voyageur, dates, statut, prix) et votre calendrier de disponibilité avec les tarifs."
